,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
3,3,경희대학교,KyungHee University,A,General,Seoul,"사학과(한국사, 동양사, 서양사, 고고학)","Department of History (Korean History, Oriental History, Western History, Archaeology)",인문,Humanities,O,Korean 100%,TOPIK 4 or above,March or September,O,Korean 100%,TOPIK 4 or above,March or September,http://history.khu.ac.kr,"For the Ph.D. program, there would be an extended registration period for doctoral thesis submission after the 2years of regular courses. 
(The registration fee for an extended period needs to be paid once no matter the length of the period.)"
4,4,경희대학교,KyungHee University,A,General,Seoul,"철학과(동양철학, 서양철학)","Department of Philosophy (Oriental Philosophy, Western Philosoply)",인문,Humanities,O,Korean 100%,TOPIK 4 or above,March or September,O,Korean 100%,TOPIK 4 or above,March or September,http://sophia.khu.ac.kr/,"For the Ph.D. program, there would be an extended registration period for doctoral thesis submission after the 2years of regular courses. 
(The registration fee for an extended period needs to be paid once no matter the length of the period.)"
5,5,경희대학교,KyungHee University,A,General,Seoul,법학과,Department of Law,사회,Social Science,O,Korean 100%,TOPIK 4 or above,March or September,X,,,,http://law.khu.ac.kr,"For the Ph.D. program, there would be an extended registration period for doctoral thesis submission after the 2years of regular courses. 
(The registration fee for an extended period needs to be paid once no matter the length of the period.)"
6,6,경희대학교,KyungHee University,A,General,Seoul,정치학과,Department of Political Science,사회,Social Science,O,Korean 100%,TOPIK 4 or above,March or September,O,Korean 100%,TOPIK 4 or above,March or September,http://politics.khu.ac.kr,"For the Ph.D. program, there would be an extended registration period for doctoral thesis submission after the 2years of regular courses. 
(The registration fee for an extended period needs to be paid once no matter the length of the period.)"
7,7,경희대학교,KyungHee University,A,General,Seoul,행정학과,Department of Public Administration,사회,Social Science,O,Korean 100%,TOPIK 4 or above,March or September,O,Korean 100%,TOPIK 4 or above,March or September,http://pa.khu.ac.kr,"For the Ph.D. program, there would be an extended registration period for doctoral thesis submission after the 2years of regular courses. 
(The registration fee for an extended period needs to be paid once no matter the length of the period.)"
8,8,경희대학교,KyungHee University,A,General,Seoul,경제학과,Department of Economics,사회,Social Science,O,Korean 100%,TOPIK 5 or above,March or September,O,Korean 100%,TOPIK 5 or above,March or September,http://econ.khu.ac.kr,"For the Ph.D. program, there would be an extended registration period for doctoral thesis submission after the 2years of regular courses. 
(The registration fee for an extended period needs to be paid once no matter the length of the period.)"
9,9,경희대학교,KyungHee University,A,General,Seoul,"무역학과 (국제경제,국제경영,무역경영)","Department of International Trade (International Economics, International Business, International Trade Management)",사회,Social Science,O,Korean 100%,TOPIK 5 or above,March or September,O,Korean 100%,TOPIK 5 or above,March or September,http://trade.khu.ac.kr,"For the Ph.D. program, there would be an extended registration period for doctoral thesis submission after the 2years of regular courses. 
(The registration fee for an extended period needs to be paid once no matter the length of the period.)"
10,10,경희대학교,KyungHee University,A,General,Seoul,"경영학과(경영정보시스템(MIS), 빅데이터경영, 마케팅, 생산운영관리, 인사조직, 재무금융, 연금금융)","Department of Business Administration 
(Management Information Systems, Big data Management, Marketing, Production and Operations Management, 
Human Resource Management and Organization, Finance and Insurance, Pension Finance and Management)",사회,Social Science,O,Korean 100%,TOPIK 5 or above,March or September,O,Korean 100%,TOPIK 5 or above,March or September,http://kbiz.khu.ac.kr,"For the Ph.D. program, there would be an extended registration period for doctoral thesis submission after the 2years of regular courses. 
(The registration fee for an extended period needs to be paid once no matter the length of the period.)"
11,11,경희대학교,KyungHee University,A,General,Seoul,의료경영학과,Department of Health Services Management,사회,Social Science,O,Korean 100%,TOPIK 4 or above,March or September,O,Korean 100%,TOPIK 4 or above,March or September,http://kbiz.khu.ac.kr,"For the Ph.D. program, there would be an extended registration period for doctoral thesis submission after the 2years of regular courses. 
(The registration fee for an extended period needs to be paid once no matter the length of the period.)"
12,12,경희대학교,KyungHee University,A,General,Seoul,호텔경영학과,Department of Hotel Management,사회,Social Science,O,Korean 100%,TOPIK 5 or above,March or September,O,Korean 100%,TOPIK 5 or above,March or September,http://graduate.khu.ac.kr/,"For the Ph.D. program, there would be an extended registration period for doctoral thesis submission after the 2years of regular courses. 
(The registration fee for an extended period needs to be paid once no matter the length of the period.)"
13,13,경희대학교,KyungHee University,A,General,Seoul,컨벤션전시경영학과,Department of Convention & Exhibition Management,사회,Social Science,O,Korean 100%,TOPIK 5 or above,March or September,O,Korean 100%,TOPIK 5 or above,March or September,http://graduate.khu.ac.kr/,"For the Ph.D. program, there would be an extended registration period for doctoral thesis submission after the 2years of regular courses. 
(The registration fee for an extended period needs to be paid once no matter the length of the period.)"
14,14,경희대학교,KyungHee University,A,General,Seoul,조리외식경영학과,Department of Food Service Management,사회,Social Science,O,Korean 100%,TOPIK 5 or above,March or September,O,Korean 100%,TOPIK 5 or above,March or September,http://graduate.khu.ac.kr/,"For the Ph.D. program, there would be an extended registration period for doctoral thesis submission after the 2years of regular courses. 
(The registration fee for an extended period needs to be paid once no matter the length of the period.)"
15,15,경희대학교,KyungHee University,A,General,Seoul,문화관광콘텐츠학과,Department of Culture & Tourism Contents,사회,Social Science,O,Korean 100%,TOPIK 5 or above,March or September,O,Korean 100%,TOPIK 5 or above,March or September,https://graduate.khu.ac.kr/,"For the Ph.D. program, there would be an extended registration period for doctoral thesis submission after the 2years of regular courses. 
(The registration fee for an extended period needs to be paid once no matter the length of the period.)"
16,16,경희대학교,KyungHee University,A,General,Seoul,"스마트관광원(관광학, 호스피탈리티경영학)","Smart Tourism Education Platform (Tourism Science, Hospitality Management)",사회,Social Science,O,Korean 100%,TOPIK 5 or above,March or September,O,Korean 100%,TOPIK 4 or above,March or September,http://step.khu.ac.kr/,"For the Ph.D. program, there would be an extended registration period for doctoral thesis submission after the 2years of regular courses. 
(The registration fee for an extended period needs to be paid once no matter the length of the period.)"
17,17,경희대학교,KyungHee University,A,General,Seoul,글로벌Hospitality‧관광학과,Department of Global Hospitality and Tourism,사회,Social Science,O,English 100%,TOPIK3+English Language Profiency,March or September,O,English 100%,TOPIK3+English Language Profiency,March or September,http://globalhtm.khu.ac.kr/main/index.do,"Language requirements must be obtained above TOPIK 3 and English Language Proficiency*. 
For the Ph.D. program, there would be an extended registration period for doctoral thesis submission after the 2years of regular courses. 
(The registration fee for an extended period needs to be paid once no matter the length of the period.)"
18,18,경희대학교,KyungHee University,A,General,Seoul,"주거환경학과(주거환경, 고령서비스-테크융합)","Department of Housing and Interior Design (Housing and Interior Design, AgeService-Tech Convergence)",사회,Social Science,O,Korean 100%,TOPIK 4 or above,March or September,O,Korean 100%,TOPIK 4 or above,March or September,http://che.khu.ac.kr/housing/,"For the Ph.D. program, there would be an extended registration period for doctoral thesis submission after the 2years of regular courses. 
(The registration fee for an extended period needs to be paid once no matter the length of the period.)/KHU Standard-Humanities and Social Sciences "
19,19,경희대학교,KyungHee University,A,General,Seoul,"교육학(교수학습공학,교육행정,평생교육)","Department of Education (Educational Technology, Educational Administration, Lifelong Education)",사회,Social Science,O,Korean 100%,TOPIK 4 or above,March or September,O,Korean 100%,TOPIK 4 or above,March or September,http://edu.khu.kr,"Language requirements must be obtained above TOPIK 3 and English Language Proficiency*. 
For the Ph.D. program, there would be an extended registration period for doctoral thesis submission after the 2years of regular courses. 
(The registration fee for an extended period needs to be paid once no matter the length of the period.)"
20,20,경희대학교,KyungHee University,A,General,Seoul,의상학과,Department of Clothing and Textiles,사회,Social Science,O,Korean 100%,TOPIK 4 or above,March or September,O,Korean 100%,TOPIK 4 or above,March or September,http://che.khu.ac.kr/clothing,"For the Ph.D. program, there would be an extended registration period for doctoral thesis submission after the 2years of regular courses. 
(The registration fee for an extended period needs to be paid once no matter the length of the period.)/KHU Standard-Humanities and Social Sciences "
21,21,경희대학교,KyungHee University,A,General,Seoul,관광학과,Department of Tourism,사회,Social Science,O,Korean 100%,TOPIK 4 or above,March or September,O,Korean 100%,TOPIK 4 or above,March or September,http://graduate.khu.ac.kr/,"For the Ph.D. program, there would be an extended registration period for doctoral thesis submission after the 2years of regular courses. 
(The registration fee for an extended period needs to be paid once no matter the length of the period.)"
22,22,경희대학교,KyungHee University,A,General,Seoul,물리학과,Department of Physics,자연,Natural Science,O,Korean 100%,TOPIK 4 or above or TOPIK3+English Language Profiency,March or September,O,Korean 100%,TOPIK 3 or above+English Language Proficiency,March or September,http://phy.khu.ac.kr,"Language requirements must be obtained above TOPIK 3 and English Language Proficiency*. 
For the Ph.D. program, there would be an extended registration period for doctoral thesis submission after the 2years of regular courses. 
(The registration fee for an extended period needs to be paid once no matter the length of the period.)"
23,23,경희대학교,KyungHee University,A,General,Seoul,화학과,Department of Chemistry,자연,Natural Science,O,Korean / English,TOPIK 4 or above or TOPIK3+English Language Profiency,March or September,O,Korean / English,TOPIK 4 or above or TOPIK3+English Language Profiency,March or September,http://chem.khu.ac.kr," Language requirements must be obtained TOPIK 4 or above or meet TOPIK 3 + English Language Proficiency*  
For the Ph.D. program, there would be an extended registration period for doctoral thesis submission after the 2years of regular courses. 
(The registration fee for an extended period needs to be paid once no matter the length of the period.)"
24,24,경희대학교,KyungHee University,A,General,Seoul,생물학과,Department of Biology,자연,Natural Science,O,Korean 100%,TOPIK 4 or above,March or September,O,Korean 100%,TOPIK 4 or above,March or September,http://biology.khu.ac.kr,"For the Ph.D. program, there would be an extended registration period for doctoral thesis submission after the 2years of regular courses. 
(The registration fee for an extended period needs to be paid once no matter the length of the period.)"
25,25,경희대학교,KyungHee University,A,General,Seoul,식품영양학과,Department of Food & Nutrition,자연,Natural Science,O,Korean 100%,TOPIK 4 or above,March or September,O,Korean 100%,TOPIK 4 or above,March or September,http://che.khu.ac.kr/food/,"For the Ph.D. program, there would be an extended registration period for doctoral thesis submission after the 2years of regular courses. 
(The registration fee for an extended period needs to be paid once no matter the length of the period.)"
26,26,경희대학교,KyungHee University,A,General,Seoul,기초약학과,Department of Fundamental Pharmacentical Sciences,자연,Natural Science,O,Korean 100%,TOPIK 4 or above,March or September,O,Korean 100%,TOPIK 4 or above,March or September,http://pharm.khu.ac.kr,"For the Ph.D. program, there would be an extended registration period for doctoral thesis submission after the 2years of regular courses. 
(The registration fee for an extended period needs to be paid once no matter the length of the period.)"
27,27,경희대학교,KyungHee University,A,General,Seoul,"천연물융합신약개발학과(생명한약학, 창약학)","Department of Integrated Drug Development and Natural Products (Oriental Pharmaceutical Life Sciences, Applied Pharmaceutical Sciences)",자연,Natural Science,O,Korean 100%,TOPIK 4 or above,March or September,O,Korean 100%,TOPIK 4 or above,March or September,http://pharm.khu.ac.kr,"For the Ph.D. program, there would be an extended registration period for doctoral thesis submission after the 2years of regular courses. 
(The registration fee for an extended period needs to be paid once no matter the length of the period.)"
28,28,경희대학교,KyungHee University,A,General,Seoul,음악학과(작곡),Department of Music (Composition),예체능,Entertainment & Sports,O,Korean 100%,TOPIK 4 or above,March or September,O,Korean 100%,TOPIK 4 or above,March or September,http://music.khu.ac.kr,"For the Ph.D. program, there would be an extended registration period for doctoral thesis submission after the 2years of regular courses. 
(The registration fee for an extended period needs to be paid once no matter the length of the period.)"
29,31,경희대학교,KyungHee University,A,General,Seoul,간호학과,Department of Nursing,자연,Natural Science,O,Korean 100%,TOPIK 4 or above,March or September,O,Korean 100%,TOPIK 4 or above,March or September,https://khcns21.khu.ac.kr/,"For the program, there would be an extended registration period for thesis submission after the 2years of regular courses.
(The registration fee for an extended period needs to be paid once no matter the length of the period.) 
Other criteria are in accordance with the admission standards for Korean students entering department of nursing, Kyung Hee University Graduate school."
30,28,경희대학교,KyungHee University,A,General,Seoul,기초의과학과,Department of Biomedical Science,자연,Natural Science,O,Korean 100%,TOPIK 4 or above or TOPIK3+English Language Profiency,March or September,O,Korean 100%,TOPIK 4 or above or TOPIK3+English Language Profiency,March or September,http://sites.google.com/site/khbiomed," Language requirements must be obtained TOPIK 4 or above or meet TOPIK 3 + English Language Proficiency*  
For the Ph.D. program, there would be an extended registration period for doctoral thesis submission after the 2years of regular courses. 
(The registration fee for an extended period needs to be paid once no matter the length of the period.);"
31,32,경희대학교,KyungHee University,A,General,Seoul,신경과학과,Department of Neuroscience,자연,Natural Science,O,Korean 100%,TOPIK 4 or above,March or September,O,Korean 100%,TOPIK 4 or above,March or September,http://www.srcncrc.com/,"For the Ph.D. program, there would be an extended registration period for doctoral thesis submission after the 2years of regular courses. 
(The registration fee for an extended period needs to be paid once no matter the length of the period.)"
32,30,경희대학교,KyungHee University,A,General,Seoul,"치의학과(치의학, 이학, 공학)","Department of Dentistry (Dentistry, Science, Engineering)",의학,Medicine,O,Korean 100%,TOPIK 4 or above,March or September,O,Korean 100%,TOPIK 4 or above,March or September,http://www.dental.ac.kr,"For the Ph.D. program, there would be an extended registration period for doctoral thesis submission after the 2years of regular courses. 
(The registration fee for an extended period needs to be paid once no matter the length of the period.)"
33,31,경희대학교,KyungHee University,A,General,Seoul,"융합의과학과
(첨단재생의학(이학), 첨단재생의학(의학),융합암생물학(이학), 융합암생물학(의학),응용멀티오믹스및정밀의학(이학),
융합건강노화및노인성질환(이학),융합건강노화및노인성질환(의학),천연물융합과학(이학), 천연물융합과학(약학))","Cooperative Education Program : Univ
(Regenerative Medicine- Science, Regenerative Medicine-Medicine, Integrative Cancer Biology-Science, Integrative Cancer Biology-Medicine,
 Applied Multi Omics and Precision Medicine-Science)",의학,Medicine,O,Korean 100%,TOPIK 4 or above,March or September,O,Korean 100%,TOPIK 4 or above,March or September,http://khmsri.or.kr/khmsri/depart_intro.jsp,"For the Ph.D. program, there would be an extended registration period for doctoral thesis submission after the 2years of regular courses. 
(The registration fee for an extended period needs to be paid once no matter the length of the period.)"
34,35,경희대학교,KyungHee University,A,General,Seoul,정보디스플레이학과,Department of Information Display,자연,Natural Science,O,Korean / English,TOPIK3+English Language Profiency,March or September,O,Korean / English,TOPIK3+English Language Profiency,March or September,http://bk21plusdisplay.khu.ac.kr,"Language requirements must be obtained above TOPIK 3 and English Language Proficiency*. 
For the Ph.D. program, there would be an extended registration period for doctoral thesis submission after the 2years of regular courses. 
(The registration fee for an extended period needs to be paid once no matter the length of the period.)"
35,33,경희대학교,KyungHee University,A,General,Seoul,"생체의과학과(의학, 한의학, 치의학, 이학, 건강데이터과학융합(공학))",Department of Biomedical Science and Technology,의학,Medicine,O,Korean 100%,TOPIK 4 or above,March or September,O,Korean 100%,TOPIK 4 or above,March or September,http://biomed.khu.ac.kr,"For the Ph.D. program, there would be an extended registration period for doctoral thesis submission after the 2years of regular courses. 
(The registration fee for an extended period needs to be paid once no matter the length of the period.)"
36,37,경희대학교,KyungHee University,A,General,Seoul,"통합의료인문학과(인문학, 의학)","Department of Integrated Medical Humanities(Humanities, Medicine)",인문,Humanities,O,Korean 100%,TOPIK 4 or above,March or September,O,Korean 100%,TOPIK 4 or above,March or September,http://hkimh.khu.ac.kr/wordpress/,"For the Ph.D. program, there would be an extended registration period for doctoral thesis submission after the 2years of regular courses. 
(The registration fee for an extended period needs to be paid once no matter the length of the period.)/Interdisciplinary Programs"
37,38,경희대학교,KyungHee University,A,General,"Seoul, 
Gyeonggi / Youngin","빅데이터응용학과(경영학, 이학, 공학)","Department of Big Data Analytics (Business Administration, Natural Science, Engineering/Must be admitted to a campus belonging to a guidance professor)",사회,Social Science,O,Korean 100%,TOPIK 5 or above,March or September,O,Korean 100%,TOPIK 5 or above,March or September,http://bigdata21.khu.ac.kr/,"For the Ph.D. program, there would be an extended registration period for doctoral thesis submission after the 2years of regular courses. 
(The registration fee for an extended period needs to be paid once no matter the length of the period.)/Interdisciplinary Programs"
38,39,경희대학교,Kyung Hee University,A,General,Gyeonggi / Youngin,국제한국언어문화학과,Department of International Korean Language & Culture,인문,Humanities,O,Korean 100%,TOPIK 4 or above,March or September,O,Korean 100%,TOPIK 4 or above,March or September,http://korean.khu.ac.kr,"For the Ph.D. program, there would be an extended registration period for doctoral thesis submission after the 2years of regular courses. 
(The registration fee for an extended period needs to be paid once no matter the length of the period.)"
39,40,경희대학교,Kyung Hee University,A,General,Gyeonggi / Youngin,기계공학과,Department of Mechanical Engineering,공학,Engineering,O,Korean / English,TOPIK 4 or above or TOPIK3+English Language Profiency,March or September,O,Korean 100%,TOPIK 4 or above or TOPIK3+English Language Profiency,March or September,http://eng.khu.ac.kr/me,"Language requirements must be obtained TOPIK 4 or above or meet TOPIK 3 + English Language Proficiency*; 
For the Ph.D. program, there would be an extended registration period for doctoral thesis submission after the 2years of regular courses. 
(The registration fee for an extended period needs to be paid once no matter the length of the period.)."
40,41,경희대학교,Kyung Hee University,A,General,Gyeonggi / Youngin,디지털콘텐츠학과,Department of Digital Contents,예체능,Entertainment & Sports,O,Korean 100%,TOPIK 4 or above,March or September,O,Korean 100%,TOPIK 4 or above,March or September,http://gskh.khu.ac.kr/,"For the Ph.D. program, there would be an extended registration period for doctoral thesis submission after the 2years of regular courses. 
(The registration fee for an extended period needs to be paid once no matter the length of the period.)"
41,42,경희대학교,Kyung Hee University,A,General,Gyeonggi / Youngin,사회기반시스템공학과,Department of Civil engineering,공학,Engineering,O,Korean / English,TOPIK 4 or above or TOPIK3+English Language Profiency,March or September,O,Korean 100%,TOPIK 4 or above or TOPIK3+English Language Profiency,March or September,http://civileng.khu.ac.kr,"Language requirements must be obtained TOPIK 4 or above or meet TOPIK 3 + English Language Proficiency*; 
For the Ph.D. program, there would be an extended registration period for doctoral thesis submission after the 2years of regular courses. 
(The registration fee for an extended period needs to be paid once no matter the length of the period.)."
42,43,경희대학교,Kyung Hee University,A,General,Gyeonggi / Youngin,산업경영공학과,Department of Industrial and Management Systems Engineering,공학,Engineering,O,Korean / English,TOPIK 4 or above or TOPIK3+English Language Profiency,March or September,O,Korean 100%,TOPIK 4 or above or TOPIK3+English Language Profiency,March or September,http://ie.khu.ac.kr,"Language requirements must be obtained TOPIK 4 or above or meet TOPIK 3 + English Language Proficiency*; 
For the Ph.D. program, there would be an extended registration period for doctoral thesis submission after the 2years of regular courses. 
(The registration fee for an extended period needs to be paid once no matter the length of the period.)."
