,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
130,130,충북대학교,Chungbuk National University,B,"General, Regional",Gaesin / Cheongju,[전파통신공학전공],[Radio & Communications Engineering],공학,Engineering,O,Korean / English,TOPIK 3 or above,March or September,O,Korean / English,TOPIK 3 or above,March or September,https://ece.cbnu.ac.kr/,
131,131,충북대학교,Chungbuk National University,B,"General, Regional, Research",Gaesin / Cheongju,[제어로봇공학전공],[Control and Robot Engineering],공학,Artificial Intelligence(AI),O,Korean / English,TOPIK 3 or above,March or September,O,Korean / English,TOPIK 3 or above,March or September,https://airobot.chungbuk.ac.kr/eng,
132,132,충북대학교,Chungbuk National University,B,"General, Regional",Gaesin / Cheongju,[반도체공학전공],[Semiconductor Engineering],공학,Engineering,X,,,,X,,,,,
133,133,충북대학교,Chungbuk National University,B,"General, Regional, Reserch",Gaesin / Cheongju,[컴퓨터과학전공],[Computer Science],공학,Engineering,O,Korean / English,TOPIK 3 or above,March or September,O,Korean / English,TOPIK 3 or above,March or September,http://software.cbnu.ac.kr/eng,
134,134,충북대학교,Chungbuk National University,B,"General, Regional, Research",Gaesin / Cheongju,[컴퓨터공학전공],[Computer Engineering],공학,Engineering,O,Korean 100%,TOPIK 3 or above,March or September,X,,,,,
135,135,충북대학교,Chungbuk National University,B,"General, Regional",Gaesin / Cheongju,체육교육과,Physical Education,예체능,Entertainment & Sports,O,Korean 100%,TOPIK 4 or above,March or September,O,Korean 100%,TOPIK 4 or above,March or September,https://edu.chungbuk.ac.kr/physicaledu/contents.do?key=932,
136,136,충북대학교,Chungbuk National University,B,"General, Regional",Gaesin / Cheongju,조형예술학과,Fine Art,예체능,Entertainment & Sports,O,Korean 100%,TOPIK 3 or above,March or September,X,,,,http://fineart.cbnu.ac.kr/,
137,137,충북대학교,Chungbuk National University,B,"General, Regional",Gaesin / Cheongju,조형예술학과,Fine Art,예체능,Entertainment & Sports,O,Korean 100%,TOPIK 3 or above,March or September,X,,,,http://fineart.cbnu.ac.kr/,
138,138,충북대학교,Chungbuk National University,B,"General, Regional",Gaesin / Cheongju,조형예술학과,Fine Art,예체능,Entertainment & Sports,O,Korean 100%,TOPIK 3 or above,March or September,X,,,,http://fineart.cbnu.ac.kr/,
139,139,충북대학교,Chungbuk National University,B,"General, Regional",Gaesin / Cheongju,디자인학과,Design,예체능,Entertainment  & Sports,O,Korean 100%,TOPIK 3 or above,March or September,X,,,,design.chungbuk.ac.kr ,
140,140,충북대학교,Chungbuk National University,B,"General, Regional, Research",Gaesin / Cheongju,수의학과,Veterinary Medicine,의학,Medicine,O,Korean / English,TOPIK 3 or above,March or September,O,Korean / English,TOPIK 3 or above,March or September,https://vetmed.chungbuk.ac.kr/en/content/deans-message.do,
141,141,충북대학교,Chungbuk National University,B,"General, Regional, Research",Gaesin / Cheongju,수의학과,Veterinary Medicine,의학,Medicine,O,Korean / English,TOPIK 3 or above,March or September,O,Korean / English,TOPIK 3 or above,March or September,https://vetmed.chungbuk.ac.kr/en/content/deans-message.do,
142,142,충북대학교,Chungbuk National University,B,"General, Regional, Research",Gaesin / Cheongju,수의학과,Veterinary Medicine,의학,Medicine,O,Korean / English,TOPIK 3 or above,March or September,O,Korean / English,TOPIK 3 or above,March or September,https://vetmed.chungbuk.ac.kr/en/content/deans-message.do,
143,143,충북대학교,Chungbuk National University,B,"General, Regional, Research",Gaesin / Cheongju,수의학과,Veterinary Medicine,의학,Medicine,O,Korean / English,TOPIK 3 or above,March or September,O,Korean / English,TOPIK 3 or above,March or September,https://vetmed.chungbuk.ac.kr/en/content/deans-message.do,
144,144,충북대학교,Chungbuk National University,B,"General, Regional, Research",Gaesin / Cheongju,수의학과,Veterinary Medicine,의학,Medicine,O,Korean / English,TOPIK 3 or above,March or September,O,Korean / English,TOPIK 3 or above,March or September,https://vetmed.chungbuk.ac.kr/en/content/deans-message.do,
145,145,충북대학교,Chungbuk National University,B,"General, Regional",Gaesin / Cheongju,의학과,Medicine,의학,medicine,O,Korean 100%,TOPIK 3 or above,March or September,O,Korean 100%,TOPIK 3 or above,March or September,https://medweb.chungbuk.ac.kr/emaster.php,
146,146,충북대학교,Chungbuk National University,B,"General, Regional",Gaesin / Cheongju,의학과,Medicine,의학,medicine,O,Korean 100%,TOPIK 3 or above,March or September,O,Korean 100%,TOPIK 3 or above,March or September,https://medweb.chungbuk.ac.kr/emaster.php,
147,147,충북대학교,Chungbuk National University,B,"General, Regional",Gaesin / Cheongju,의학과,Medicine,의학,medicine,O,Korean 100%,TOPIK 3 or above,March or September,O,Korean 100%,TOPIK 3 or above,March or September,https://medweb.chungbuk.ac.kr/emaster.php,
148,148,충북대학교,Chungbuk National University,B,"General, Regional",Gaesin / Cheongju,의학과,Medicine,의학,medicine,O,Korean 100%,TOPIK 3 or above,March or September,O,Korean 100%,TOPIK 3 or above,March or September,https://medweb.chungbuk.ac.kr/emaster.php,
149,149,충북대학교,Chungbuk National University,B,"General, Regional",Gaesin / Cheongju,의학과,Medicine,의학,medicine,O,Korean 100%,TOPIK 3 or above,March or September,O,Korean 100%,TOPIK 3 or above,March or September,https://medweb.chungbuk.ac.kr/emaster.php,
150,150,충북대학교,Chungbuk National University,B,"General, Regional",Gaesin / Cheongju,의학과,Medicine,의학,medicine,O,Korean 100%,TOPIK 3 or above,March or September,O,Korean 100%,TOPIK 3 or above,March or September,https://medweb.chungbuk.ac.kr/emaster.php,
151,151,충북대학교,Chungbuk National University,B,"General, Regional",Gaesin / Cheongju,의학과,Medicine,의학,medicine,O,Korean 100%,TOPIK 3 or above,March or September,O,Korean 100%,TOPIK 3 or above,March or September,https://medweb.chungbuk.ac.kr/emaster.php,
152,152,충북대학교,Chungbuk National University,B,"General, Regional",Gaesin / Cheongju,의학과,Medicine,의학,medicine,O,Korean 100%,TOPIK 3 or above,March or September,O,Korean 100%,TOPIK 3 or above,March or September,https://medweb.chungbuk.ac.kr/emaster.php,
153,153,충북대학교,Chungbuk National University,B,"General, Regional",Gaesin / Cheongju,의학과,Medicine,의학,medicine,O,Korean 100%,TOPIK 3 or above,March or September,O,Korean 100%,TOPIK 3 or above,March or September,https://medweb.chungbuk.ac.kr/emaster.php,
154,154,충북대학교,Chungbuk National University,B,"General, Regional",Gaesin / Cheongju,의학과,Medicine,의학,medicine,O,Korean 100%,TOPIK 3 or above,March or September,O,Korean 100%,TOPIK 3 or above,March or September,https://medweb.chungbuk.ac.kr/emaster.php,
155,155,충북대학교,Chungbuk National University,B,"General, Regional",Gaesin / Cheongju,의학과,Medicine,의학,medicine,O,Korean 100%,TOPIK 3 or above,March or September,O,Korean 100%,TOPIK 3 or above,March or September,https://medweb.chungbuk.ac.kr/emaster.php,
156,156,충북대학교,Chungbuk National University,B,"General, Regional",Gaesin / Cheongju,의학과,Medicine,의학,medicine,O,Korean 100%,TOPIK 3 or above,March or September,O,Korean 100%,TOPIK 3 or above,March or September,https://medweb.chungbuk.ac.kr/emaster.php,
157,157,충북대학교,Chungbuk National University,B,"General, Regional",Gaesin / Cheongju,의학과,Medicine,의학,medicine,O,Korean 100%,TOPIK 3 or above,March or September,O,Korean 100%,TOPIK 3 or above,March or September,https://medweb.chungbuk.ac.kr/emaster.php,
158,158,충북대학교,Chungbuk National University,B,"General, Regional",Gaesin / Cheongju,의학과,Medicine,의학,medicine,O,Korean 100%,TOPIK 3 or above,March or September,O,Korean 100%,TOPIK 3 or above,March or September,https://medweb.chungbuk.ac.kr/emaster.php,
159,159,충북대학교,Chungbuk National University,B,"General, Regional",Gaesin / Cheongju,의학과,Medicine,의학,medicine,O,Korean 100%,TOPIK 3 or above,March or September,O,Korean 100%,TOPIK 3 or above,March or September,https://medweb.chungbuk.ac.kr/emaster.php,
160,160,충북대학교,Chungbuk National University,B,"General, Regional",Gaesin / Cheongju,의학과,Medicine,의학,medicine,X,Korean 100%,TOPIK 3 or above,March or September,X,Korean 100%,TOPIK 3 or above,March or September,https://medweb.chungbuk.ac.kr/emaster.php,
161,161,충북대학교,Chungbuk National University,B,"General, Regional",Gaesin / Cheongju,의학과,Medicine,의학,medicine,O,Korean 100%,TOPIK 3 or above,March or September,O,Korean 100%,TOPIK 3 or above,March or September,https://medweb.chungbuk.ac.kr/emaster.php,
162,162,충북대학교,Chungbuk National University,B,"General, Regional",Gaesin / Cheongju,의학과,Medicine,의학,medicine,O,Korean 100%,TOPIK 3 or above,March or September,O,Korean 100%,TOPIK 3 or above,March or September,https://medweb.chungbuk.ac.kr/emaster.php,
163,163,충북대학교,Chungbuk National University,B,"General, Regional",Gaesin / Cheongju,의학과,Medicine,의학,medicine,O,Korean 100%,TOPIK 3 or above,March or September,O,Korean 100%,TOPIK 3 or above,March or September,https://medweb.chungbuk.ac.kr/emaster.php,
164,164,충북대학교,Chungbuk National University,B,"General, Regional",Gaesin / Cheongju,의학과,Medicine,의학,medicine,O,Korean 100%,TOPIK 3 or above,March or September,O,Korean 100%,TOPIK 3 or above,March or September,https://medweb.chungbuk.ac.kr/emaster.php,
165,165,충북대학교,Chungbuk National University,B,"General, Regional",Gaesin / Cheongju,의학과,Medicine,의학,medicine,X,Korean 100%,TOPIK 3 or above,March or September,X,Korean 100%,TOPIK 3 or above,March or September,https://medweb.chungbuk.ac.kr/emaster.php,
166,166,충북대학교,Chungbuk National University,B,"General, Regional",Gaesin / Cheongju,의학과,Medicine,의학,medicine,O,Korean 100%,TOPIK 3 or above,March or September,O,Korean 100%,TOPIK 3 or above,March or September,https://medweb.chungbuk.ac.kr/emaster.php,
167,167,충북대학교,Chungbuk National University,B,"General, Regional",Gaesin / Cheongju,의학과,Medicine,의학,medicine,O,Korean 100%,TOPIK 3 or above,March or September,O,Korean 100%,TOPIK 3 or above,March or September,https://medweb.chungbuk.ac.kr/emaster.php,
168,168,충북대학교,Chungbuk National University,B,"General, Regional",Gaesin / Cheongju,의학과,Medicine,의학,medicine,O,Korean 100%,TOPIK 3 or above,March or September,O,Korean 100%,TOPIK 3 or above,March or September,https://medweb.chungbuk.ac.kr/emaster.php,
169,169,충북대학교,Chungbuk National University,B,"General, Regional",Gaesin / Cheongju,의학과,Medicine,의학,medicine,O,Korean 100%,TOPIK 3 or above,March or September,O,Korean 100%,TOPIK 3 or above,March or September,https://medweb.chungbuk.ac.kr/emaster.php,
170,170,충북대학교,Chungbuk National University,B,"General, Regional",Gaesin / Cheongju,의학과,Medicine,의학,medicine,O,Korean 100%,TOPIK 3 or above,March or September,O,Korean 100%,TOPIK 3 or above,March or September,https://medweb.chungbuk.ac.kr/emaster.php,
171,171,충북대학교,Chungbuk National University,B,"General, Regional",Gaesin / Cheongju,의학과,Medicine,의학,medicine,O,Korean 100%,TOPIK 3 or above,March or September,O,Korean 100%,TOPIK 3 or above,March or September,https://medweb.chungbuk.ac.kr/emaster.php,
172,172,충북대학교,Chungbuk National University,B,"General, Regional",Gaesin / Cheongju,의학과,Medicine,의학,medicine,O,Korean 100%,TOPIK 3 or above,March or September,O,Korean 100%,TOPIK 3 or above,March or September,https://medweb.chungbuk.ac.kr/emaster.php,
173,173,충북대학교,Chungbuk National University,B,"General, Regional",Gaesin / Cheongju,의학과,Medicine,의학,medicine,O,Korean 100%,TOPIK 3 or above,March or September,O,Korean 100%,TOPIK 3 or above,March or September,https://medweb.chungbuk.ac.kr/emaster.php,
174,174,충북대학교,Chungbuk National University,B,"General, Regional",Gaesin / Cheongju,의학과,Medicine,의학,medicine,O,Korean 100%,TOPIK 3 or above,March or September,O,Korean 100%,TOPIK 3 or above,March or September,https://medweb.chungbuk.ac.kr/emaster.php,
175,175,충북대학교,Chungbuk National University,B,"General, Regional",Gaesin / Cheongju,의학과,Medicine,의학,medicine,O,Korean 100%,TOPIK 3 or above,March or September,O,Korean 100%,TOPIK 3 or above,March or September,https://medweb.chungbuk.ac.kr/emaster.php,
176,176,충북대학교,Chungbuk National University,B,"General, Regional",Gaesin / Cheongju,의학과,Medicine,의학,medicine,O,Korean 100%,TOPIK 3 or above,March or September,O,Korean 100%,TOPIK 3 or above,March or September,https://medweb.chungbuk.ac.kr/emaster.php,
177,177,충북대학교,Chungbuk National University,B,"General, Regional",Gaesin / Cheongju,의학과,Medicine,의학,medicine,O,Korean 100%,TOPIK 3 or above,March or September,O,Korean 100%,TOPIK 3 or above,March or September,https://medweb.chungbuk.ac.kr/emaster.php,
178,178,충북대학교,Chungbuk National University,B,"General, Regional",Gaesin / Cheongju,의학과,Medicine,의학,medicine,O,Korean 100%,TOPIK 3 or above,March or September,X,Korean 100%,TOPIK 3 or above,March or September,https://medweb.chungbuk.ac.kr/emaster.php,
179,179,충북대학교,Chungbuk National University,B,"General, Regional",Gaesin / Cheongju,의학과,Medicine,의학,medicine,O,Korean 100%,TOPIK 3 or above,March or September,X,Korean 100%,TOPIK 3 or above,March or September,https://medweb.chungbuk.ac.kr/emaster.php,
180,180,충북대학교,Chungbuk National University,B,"General, Regional",Gaesin / Cheongju,의학과,Medicine,의학,medicine,O,Korean 100%,TOPIK 3 or above,March or September,X,Korean 100%,TOPIK 3 or above,March or September,https://medweb.chungbuk.ac.kr/emaster.php,
181,181,충북대학교,Chungbuk National University,B,"General, Regional, Research",Gaesin / Cheongju,위기관리학,Crisisonomy,사회,Social Science,O,Korean 100%,TOPIK 4 or above,March or September,O,Korean 100%,TOPIK 4 or above,March or September,https://public.chungbuk.ac.kr/,
182,182,충북대학교,Chungbuk National University,B,"General, Regional",Gaesin / Cheongju,국제경영정보과학,Global Studies on Management and Information Science,사회,Social Science,X,,,,X,,,,,
183,183,충북대학교,Chungbuk National University,B,"General, Regional",Gaesin / Cheongju,정부재정회계,Government Finance Accounting,사회,Social Science,X,,,,X,,,,,
184,184,충북대학교,Chungbuk National University,B,"General, Regional, Research",Gaesin / Cheongju,바이오미래융합기술경영,Bio-Convergence Future Technology,사회,Social Science,O,Korean 100%,TOPIK 4 or above,March or September,O,Korean 100%,TOPIK 4 or above,March or September,https://biomot.cbnu.ac.kr/index.php,
185,185,충북대학교,Chungbuk National University,B,"General, Regional",Gaesin / Cheongju,지식재산스마트융합,Intellectual Property Smart Convergence,사회,Social Science,X,,,,X,,,,,
186,186,충북대학교,Chungbuk National University,B,"General, Regional",Gaesin / Cheongju,바이오산업,Interdepartment Program of Biotechnology Industry,사회,Social Science,X,,,,X,,,,,
187,187,충북대학교,Chungbuk National University,B,"General, Regional",Gaesin / Cheongju,바이오산업,Interdepartment Program of Biotechnology Industry,사회,Social Science,X,,,,X,,,,,
188,188,충북대학교,Chungbuk National University,B,"General, Regional",Gaesin / Cheongju,문화재과학,Cultural Heritage Science,자연,Natural Science,O,Korean / English,TOPIK 3 or above,March or September,O,Korean / English,TOPIK 3 or above,March or September,,
189,189,충북대학교,Chungbuk National University,B,"General, Regional",Gaesin / Cheongju,융합보안,Convergence Security,,,X,,,,X,,,,,
190,190,충북대학교,Chungbuk National University,B,"General, Regional",Gaesin / Cheongju,그린에너지공학,Green Energy Engineering,공학,Engineering,O,Korean 100%,TOPIK 3 or above,March or September,X,,,,,
191,191,충북대학교,Chungbuk National University,B,"General, Regional",Gaesin / Cheongju,방재공학,Disaster Prevention Engineering,공학,Engineering,O,Korean 100%,TOPIK 3 or above,March or September,O,Korean 100%,TOPIK 3 or above,March or September,https://disaster.chungbuk.ac.kr/,
192,192,충북대학교,Chungbuk National University,B,"General, Regional",Gaesin / Cheongju,방재공학,Disaster Prevention Engineering,공학,Engineering,O,Korean 100%,TOPIK 3 or above,March or September,O,Korean 100%,TOPIK 3 or above,March or September,https://disaster.chungbuk.ac.kr/,
193,193,충북대학교,Chungbuk National University,B,"General, Regional",Gaesin / Cheongju,스마트생태산업융합학,Eco-Industrial Convergence,공학,Engineering,O,Korean 100%,TOPIK 3 or above,March or September,O,Korean 100%,TOPIK 3 or above,March or September,http://eid.cbnu.ac.kr/,
194,194,충북대학교,Chungbuk National University,B,"General, Regional",Gaesin / Cheongju,도시재생학,Urban Regeneration,공학,Engineering,O,Korean 100%,TOPIK 3 or above,March or September,O,Korean 100%,TOPIK 3 or above,March or September,https://gdur.cbnu.ac.kr/,
195,195,충북대학교,Chungbuk National University,B,,Gaesin / Cheongju,정보산업공학,Information Industrial Engineering,,,X,,,,X,,,,,
196,196,충북대학교,Chungbuk National University,B,,Gaesin / Cheongju,정보산업공학,Information Industrial Engineering,,,X,,,,X,,,,,
197,197,충북대학교,Chungbuk National University,B,"General, Regional, Reserch",Gaesin / Cheongju,스마트카,Smart Car,공학,Engineering,O,Korean / English, TOPIK 3 or above,March or September,O,Korean / English, TOPIK 3 or above,March or September,https://www.avl-scrc.com/,"Autonomous Driving, AI, Software programming skills "
198,198,충북대학교,Chungbuk National University,B,"General, Regional, Reserch",Gaesin / Cheongju,스마트팩토리학,Smart Factory Management,,,X,,,,X,,,,,
199,199,충북대학교,Chungbuk National University,B,,Gaesin / Cheongju,의용생체공학,Interdisciplinary Program of Biomedical Engineering,,,X,,,,X,,,,,
1,1,충남대학교,Chungnam National University,B,"General, Regional",Daejeon,국어국문학과,Korean Language & Literature,인문,Humanities,O,Korean 100%,TOPIK 3 or above,March or September,O,Korean 100%,TOPIK 3 or above,March or September,https://korean.cnu.ac.kr,Graduation requirements: TOPIK 5 or above
2,2,충남대학교,Chungnam National University,B,"General, Regional",Daejeon,영어영문학과,English Language and Literature,인문,Humanities,O,Korean / English,TOPIK 4 or above,March or September,O,Korean / English,TOPIK 4 or above,March or September,english.cnu.ac.kr,
3,3,충남대학교,Chungnam National University,B,"General, Regional",Daejeon,불어불문학과,French Language & Literature,인문,Humanities,O,Korean 100%,TOPIK 5 or above,March or September,O,Korean 100%,TOPIK 5 or above,March or September,https://french.cnu.ac.kr,"Graduation requirements:
Maser (DELF B1), Doctoral (DELF B2)"
4,4,충남대학교,Chungnam National University,B,"General, Regional",Daejeon,중어중문학과,Chinese Language & Literature,인문,Humanities,O,Korean 100%,TOPIK 4 or above,March or September,O,Korean 100%,TOPIK 5 or above,March or September,https://cnucn.cnu.ac.kr/cnuch,
5,5,충남대학교,Chungnam National University,B,"General, Regional",Daejeon,일어일문학과,Japanese Language and Literature,인문,Humanities,O,Korean 100%,TOPIK 5 or above,March or September,O,Korean 100%,TOPIK 5 or above,March or September,,
6,6,충남대학교,Chungnam National University,B,"General, Regional",Daejeon,언어학과,Linguistics,인문,Humanities,O,Korean / English,TOPIK 3 or above,March or September,O,Korean / English,TOPIK 3 or above,March or September,https://cnulinguistics.cnu.ac.kr/cnulinguistics/index.do,
7,7,충남대학교,Chungnam National University,B,"General, Regional",Daejeon,여성젠더학과,Women’s and Gender Studies,인문,Humanities,O,Korean 100%,TOPIK 4 or above,March or September,O,Korean 100%,TOPIK 4 or above,March or September,women-gender.cnu.ac.kr,
8,8,충남대학교,Chungnam National University,B,"General, Regional",Daejeon,사회학과,Sociology,사회,Social Science,O,Korean 100%,TOPIK 3 or above,March or September,O,Korean 100%,TOPIK 3 or above,March or September,https://socio.cnu.ac.kr/socio/index.do,
9,9,충남대학교,Chungnam National University,B,"General, Regional",Daejeon,심리학과,Psychology,사회,Social Science,O,Korean 100%,TOPIK 3 or above,March or September,O,Korean 100%,TOPIK 3 or above,March or September,https://homepage.cnu.ac.kr/cnupsy,
10,10,충남대학교,Chungnam National University,B,"General, Regional",Daejeon,정치외교학과,Political Science and Diplomacy,사회,Social Science,O,Korean 100%,TOPIK 3 or above,March or September,O,Korean 100%,TOPIK 3 or above,March or September,https://politics.cnu.ac.kr/politics/index.do,
11,11,충남대학교,Chungnam National University,B,"General, Regional",Daejeon,자치행정학과,Local Autonomy Administration,사회,Social Science,O,Korean 100%,TOPIK 3 or above,March or September,O,Korean 100%,TOPIK 3 or above,March or September,https://autonomy.cnu.ac.kr,
12,12,충남대학교,Chungnam National University,B,"General, Regional",Daejeon,행정학과,Public Administration,사회,Social Science,O,Korean 100%,TOPIK 3 or above,March or September,O,Korean 100%,TOPIK 3 or above,March or September,https://lapa.cnu.ac.kr/pa/index.do,
13,13,충남대학교,Chungnam National University,B,"General, Regional, Research",Daejeon,수학과,Mathematics,자연,Natural Science,O,Korean / English,TOPIK 3 or above,March or September,O,Korean / English,TOPIK 3 or above,March or September,https://math.cnu.ac.kr/,
14,14,충남대학교,Chungnam National University,B,"General, Regional, Research",Daejeon,물리학과,Physics,자연,Natural Science,O,Korean / English,TOPIK 3 or above,March or September,O,Korean / English,TOPIK 3 or above,March or September,https://physics.cnu.ac.kr,
15,15,충남대학교,Chungnam National University,B,"General, Regional",Daejeon,화학과,Chemistry,자연,Natural Science,O,Korean / English,TOPIK 3 or above,March or September,O,Korean / English,TOPIK 3 or above,March or September,https://homepage.cnu.ac.kr/chem/index.do,
16,16,충남대학교,Chungnam National University,B,"General, Regional",Daejeon,지구환경·우주융합과학과,Earth Environmental & Space Convergence Sciences,자연,Natural Science,O,Korean / English,TOPIK 3 or above,March or September,O,Korean / English,TOPIK 3 or above,March or September,"https://geo.cnu.ac.kr/  (지질)
https://astro1.cnu.ac.kr/  (천문)
https://atmos.cnu.ac.kr/  (대기)
https://ocean.cnu.ac.kr (해양)",Korean(50%) / English(50%)
17,17,충남대학교,Chungnam National University,B,"General, Regional",Daejeon,경영학과,Business Administration,사회,Social Science,O,Korean 100%,TOPIK 4 or above,March or September,O,Korean 100%,TOPIK 4 or above,March or September,https://biz.cnu.ac.kr/,
18,18,충남대학교,Chungnam National University,B,"General, Regional",Daejeon,회계학과,Accounting,사회,Social Science,O,Korean 100%,TOPIK 4 or above,March or September,O,Korean 100%,TOPIK 4 or above,March or September,https://biz.cnu.ac.kr/,
19,19,충남대학교,Chungnam National University,B,"General, Regional",Daejeon,무역학과,International Trade,사회,Social Science,O,Korean / English,TOPIK 3 or above,March or September,O,Korean / English,TOPIK 3 or above,March or September,https://homepage.cnu.ac.kr/trade,Mostly in Korean(90%)
20,20,충남대학교,Chungnam National University,B,"General, Regional",Daejeon,전파정보통신공학과,Radio and Information Communications Engineering,공학,Engineering,O,Korean 100%,TOPIK 3 or above,March or September,O,Korean 100%,TOPIK 3 or above,March or September,https://rice.cnu.ac.kr/,
21,21,충남대학교,Chungnam National University,B,"General, Regional, Research",Daejeon,신소재공학과,Materials Science & Engineering,공학,Engineering,O,Korean / English,TOPIK 3 or above,March or September,O,Korean / English,TOPIK 3 or above,March or September,mse.cnu.ac.kr,
22,22,충남대학교,Chungnam National University,B,"General, Regional, Research",Daejeon,고분자공학과,Polymer Engineering,공학,Engineering,O,Korean / English,TOPIK 3 or above,March or September,O,Korean / English,TOPIK 3 or above,March or September,polymer.cnu.ac.kr,
23,23,충남대학교,Chungnam National University,B,"General, Regional",Daejeon,기계공학과,Mechanical Engineering,공학,Engineering,O,Korean / English,TOPIK 3 or above,March or September,O,Korean / English,TOPIK 3 or above,March or September,https://me.cnu.ac.kr/,Mostly in Korean
24,24,충남대학교,Chungnam National University,B,"General, Regional",Daejeon,환경IT융합공학과,Environmental and IT Convergence,공학,Engineering,O,Korean / English,TOPIK 3 or above,March or September,O,Korean / English,TOPIK 3 or above,March or September,https://envi.cnu.ac.kr/envi/english/greetings_en.do,Korean(80%) / English(20%)
25,25,충남대학교,Chungnam National University,B,"General, Regional",Daejeon,환경공학과,Environmental Engineering,공학,Engineering,O,Korean / English,TOPIK 3 or above,March or September,O,Korean / English,TOPIK 3 or above,March or September,https://bk21eit.cnu.ac.kr/bk21eit/index.do,Korean(80%) / English(20%)
26,26,충남대학교,Chungnam National University,B,"General, Regional",Daejeon,전자공학과,Electronics Engineering,공학,Engineering,O,Korean 100%,TOPIK 3 or above,March or September,O,Korean 100%,TOPIK 3 or above,March or September,https://ee.cnu.ac.kr/,
27,27,충남대학교,Chungnam National University,B,"General, Regional, Research",Daejeon,건축공학과,Architectural Engineering,공학,Engineering,O,Korean / English,TOPIK 3 or above,March or September,O,Korean / English,TOPIK 3 or above,March or September,https://archi-eng.cnu.ac.kr,
28,28,충남대학교,Chungnam National University,B,"General, Regional",Daejeon,전기공학과,Electrical Engineering,공학,Engineering,O,Korean 100%,TOPIK 3 or above,March or September,O,Korean 100%,TOPIK 3 or above,March or September,https://elec.cnu.ac.kr,
29,29,충남대학교,Chungnam National University,B,"General, Regional",Daejeon,유기응용재료공학과,Applied Organic Materials Engineering,공학,Engineering,O,Korean / English,TOPIK 3 or above,March or September,O,Korean / English,TOPIK 3 or above,March or September,https://oameng.cnu.ac.kr/pplab/index.do,
30,30,충남대학교,Chungnam National University,B,"General, Regional, Research",Daejeon,자율운항시스템공학과,Autonomous Vehicle System Engineering,공학,Engineering,O,Korean / English,TOPIK 3 or above,March or September,O,Korean / English,TOPIK 3 or above,March or September,http://avse.cnu.ac.kr,
31,31,충남대학교,Chungnam National University,B,"General, Regional",Daejeon,컴퓨터공학과,Computer Engineering,공학,Engineering,O,Korean 100%,TOPIK 3 or above,March or September,O,Korean 100%,TOPIK 3 or above,March or September,https://computer.cnu.ac.kr/computer/grad/intro.do,
32,32,충남대학교,Chungnam National University,B,"General, Regional",Daejeon,메카트로닉스공학과,Mechatronics Engineering,공학,Engineering,O,Korean 100%,TOPIK 3 or above,March or September,O,Korean 100%,TOPIK 3 or above,March or September,http://mec.cnu.ac.kr,
33,33,충남대학교,Chungnam National University,B,"General, Regional",Daejeon,응용화학공학과,Chemical Engineering and Applied Chemistry,공학,Engineering,O,Korean / English,TOPIK 3 or above,March or September,O,Korean / English,TOPIK 3 or above,March or September,https://ceac.cnu.ac.kr/,Korean(70%) / English(30%)
34,34,충남대학교,Chungnam National University,B,"General, Regional",Daejeon,농업경제학과,Agricultural Economics,사회,Social Science,O,Korean 100%,TOPIK 3 or above,March or September,O,Korean 100%,TOPIK 3 or above,March or September,https://homepage.cnu.ac.kr/,
35,35,충남대학교,Chungnam National University,B,"General, Regional",Daejeon,농학과,Agronomy,자연,Natural Science,O,Korean / English,TOPIK 3 or above,March or September,O,Korean / English,TOPIK 3 or above,March or September,https://homepage.cnu.ac.kr/crop/index.do,
36,36,충남대학교,Chungnam National University,B,"General, Regional",Daejeon,원예학과,Horticulture,자연,Natural Science,O,Korean / English,TOPIK 3 or above,March or September,O,Korean / English,TOPIK 3 or above,March or September,,
37,37,충남대학교,Chungnam National University,B,"General, Regional, Research",Daejeon,응용생물학과,Applied Biology,자연,Natural Science,O,Korean / English,TOPIK 3 or above,March or September,O,Korean / English,TOPIK 3 or above,March or September,https://abio.cnu.ac.kr/abio/index.do,Korean(70%) / English(30%)
38,38,충남대학교,Chungnam National University,B,"General, Regional",Daejeon,농업기계공학과,Agricultural Machinery Engineering,공학,Engineering,O,Korean / English,TOPIK 3 or above,March or September,O,Korean / English,TOPIK 3 or above,March or September,https://bme.cnu.ac.kr/,
39,39,충남대학교,Chungnam National University,B,"General, Regional",Daejeon,스마트농업시스템학과,Smart Agricultural Systems,자연,Natural Science,O,Korean / English,TOPIK 3 or above,March or September,O,Korean / English,TOPIK 3 or above,March or September,https://cit-bk21.cnu.ac.kr/bk21smartag/,
40,40,충남대학교,Chungnam National University,B,"General, Regional, Research",Daejeon,식품공학과,Food Science & Technology,자연,Natural Science,O,Korean / English,TOPIK 3 or above,March or September,O,Korean / English,TOPIK 3 or above,March or September,https://fst.cnu.ac.kr,
41,41,충남대학교,Chungnam National University,B,"General, Regional",Daejeon,낙농학과,Dairy Science,자연,Natural Science,O,Korean / English,TOPIK 3 or above,March or September,O,Korean / English,TOPIK 3 or above,March or September,https://animal.cnu.ac.kr,
42,42,충남대학교,Chungnam National University,B,"General, Regional",Daejeon,축산학과,Animal Science,자연,Natural Science,O,Korean / English,TOPIK 3 or above,March or September,O,Korean / English,TOPIK 3 or above,March or September,https://animal.cnu.ac.kr,Mostly in Korean
